Sub_id;congruent;correctresponse;Accuracy;RT;stimulus;colour;Sex;alt2;Response;alt1
1;1;x;1;0.6048578872578219;blue;blue;Male;green;x;blue
1;0;x;1;0.6933613611327019;green;red;Male;green;x;red
1;1;m;1;0.5303300173691241;red;red;Male;red;m;blue
1;1;x;1;0.48405258171260357;green;green;Male;red;x;green
1;1;m;1;0.5136147955199704;yellow;yellow;Male;yellow;m;green
1;0;x;1;0.5773934154422022;yellow;red;Male;yellow;x;red
1;0;m;0;0.8561053213343257;green;blue;Male;blue;x;green
1;1;x;1;0.46373006474459544;green;green;Male;blue;x;green
1;0;m;1;0.5015896889381111;red;green;Male;green;m;red
1;1;m;1;0.5086503236962017;yellow;yellow;Male;yellow;m;blue
1;0;m;0;0.5174174956628121;green;red;Male;red;x;green
1;0;x;0;0.40303726511774585;yellow;green;Male;yellow;m;green
1;1;x;1;0.5714756039815256;blue;blue;Male;red;x;blue
1;1;m;1;0.5228647560288664;yellow;yellow;Male;yellow;m;red
1;1;m;1;0.5215158692590194;green;green;Male;green;m;blue
1;0;m;1;0.5130806884699268;blue;red;Male;red;m;blue
1;0;m;1;0.5127273803809658;yellow;blue;Male;blue;m;yellow
1;0;m;1;0.4225315806106664;red;blue;Male;blue;m;red
1;0;x;1;0.42344623401004355;blue;green;Male;blue;x;green
1;1;x;1;0.47130783199099824;yellow;yellow;Male;blue;x;yellow
1;1;m;1;0.5408025422511855;green;green;Male;green;m;red
1;1;m;1;0.5254456813563593;red;red;Male;red;m;yellow
1;1;m;1;0.5468454918736825;blue;blue;Male;blue;m;yellow
1;0;m;1;0.587584478140343;blue;green;Male;green;m;blue
1;1;x;1;0.645639902097173;blue;blue;Male;yellow;x;blue
1;0;x;1;0.6255534501833608;red;yellow;Male;red;x;yellow
1;0;x;1;0.8136712458508555;green;blue;Male;green;x;blue
1;1;m;1;0.49342136428458616;green;green;Male;green;m;yellow
1;0;m;1;0.603433206997579;red;yellow;Male;yellow;m;red
1;1;m;1;0.5306312174361665;red;red;Male;red;m;green
1;1;x;1;0.6975781620130874;yellow;yellow;Male;green;x;yellow
1;0;x;1;0.5553773882857058;blue;red;Male;blue;x;red
1;0;m;1;0.5118940470565576;yellow;red;Male;red;m;yellow
1;1;x;1;0.45779369966476224;yellow;yellow;Male;red;x;yellow
1;0;x;1;0.43540304752241354;yellow;blue;Male;yellow;x;blue
1;0;m;1;0.5200698721018853;green;yellow;Male;yellow;m;green
1;1;m;1;0.44991907468647696;blue;blue;Male;blue;m;red
1;0;x;1;0.5085646613006247;green;yellow;Male;green;x;yellow
1;0;x;1;0.5068608874134952;red;green;Male;red;x;green
1;0;m;1;0.5365790304640541;yellow;green;Male;green;m;yellow
1;0;m;1;0.5629160745302215;blue;yellow;Male;yellow;m;blue
1;0;x;1;0.5776657981914468;blue;yellow;Male;blue;x;yellow
1;1;x;1;0.44994789198972285;green;green;Male;yellow;x;green
1;1;m;1;0.4453785725636408;blue;blue;Male;blue;m;green
1;1;x;1;1.1179685772949597;red;red;Male;green;x;red
1;1;x;1;0.4586933522805339;red;red;Male;blue;x;red
1;1;x;1;0.44930720038246363;red;red;Male;yellow;x;red
1;0;x;1;0.5471020843251608;red;blue;Male;red;x;blue
