stimulus,colour,congruent,correctresponse,alt1,alt2
blue,blue,1,x,blue,yellow
blue,yellow,0,m,blue,yellow
blue,red,0,m,blue,red
blue,green,0,m,blue,green
yellow,blue,0,m,yellow,blue
yellow,yellow,1,x,yellow,blue
yellow,red,0,m,yellow,red
yellow,green,0,m,yellow,green
green,blue,0,m,green,blue
green,yellow,0,m,green,yellow
green,red,0,m,green,red
green,green,1,x,green,yellow
red,blue,0,m,red,blue
red,yellow,0,m,red,yellow
red,red,1,x,red,green
red,green,0,m,red,green
blue,blue,1,m,yellow,blue
blue,yellow,0,x,yellow,blue
blue,red,0,x,red,blue
blue,green,0,x,green,blue
yellow,blue,0,x,blue,yellow
yellow,yellow,1,m,blue,yellow
yellow,red,0,x,red,yellow
yellow,green,0,x,green,yellow
green,blue,0,x,blue,green
green,yellow,0,x,yellow,green
green,red,0,x,red,green
green,green,1,m,yellow,green
red,blue,0,x,blue,red
red,yellow,0,x,yellow,red
red,red,1,m,green,red
red,green,0,x,green,red
blue,blue,1,m,green,blue
blue,blue,1,x,blue,green
blue,blue,1,m,red,blue
blue,blue,1,x,blue,red
yellow,yellow,1,m,green,yellow
yellow,yellow,1,x,yellow,green
yellow,yellow,1,x,yellow,red
yellow,yellow,1,m,red,yellow
green,green,1,m,blue,green
green,green,1,x,green,blue
green,green,1,m,red,green
green,green,1,x,green,red
red,red,1,m,blue,red
red,red,1,x,red,blue
red,red,1,m,yellow,red
red,red,1,x,red,yellow
